n-Si--MoOx---62W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Ԑs=Ԑo*Ԑr,q,Area,A^2,Slope,N,|N|,LD,Cox,Cs,Cfb,Vfb,Ⴔb,Ⴔm,ꭕ,Eg,Ⴔms,Qeff,Neff,,C2-V,Vd,Wd,EF
1MHz,1.04E-12,1.60E-19,0.0078,0.00006084,-1.67E+19,-1.19E+16,1.18902276444712E+016,3.75452037730222E-06,4.69E-09,2.15E-09,1.48E-09,1.573,-0.36304857852532,4.16,4.05,1.12,1.38,-7.25E+11,-4.53E+30,,1.38,1.405,3.91169855664977E-05,0.00803152831850225
500KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-1.79E+19,-1.11E+16,1.10860255511336E+016,3.88831654147433E-06,5.12E-09,2.08E-09,1.48E-09,1.573,-0.361235661514348,4.16,4.05,1.12,1.19,-1.57E+12,-9.83E+30,,1.19,1.215,3.76723319100035E-05,0.00621771245322055
300KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-1.95E+19,-1.02E+16,1.0160296983083E+016,4.06159250779084E-06,5.11E-09,1.99E-09,1.43E-09,1.573,-0.35897836069489,4.16,4.05,1.12,1.09,-1.98E+12,-1.24E+31,,1.09,1.115,3.76969778916976E-05,0.0039592924514947
100KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.02E+19,-9.80E+15,9.80370722243103E+015,4.13479882319369E-06,7.92E-09,1.95E-09,1.57E-09,1.573,#DIV/0!,4.16,4.05,1.12,0.66,-5.79E+12,-3.62E+31,,0.66,0.685,3.00796252782254E-05,0.00303396133345177
50KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.30E+19,-8.61E+15,8611767134597469,4.41167398746941E-06,8.89E-09,1.83E-09,1.52E-09,1.573,#DIV/0!,4.16,4.05,1.12,0.435,-8.11E+12,-5.07E+31,,0.43,0.455,2.61566343814553E-05,-0.000323483189259372
20KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.56E+19,-7.74E+15,7741178653777505,4.65313877725426E-06,1.03E-08,1.74E-09,1.49E-09,1.573,#DIV/0!,4.16,4.05,1.12,0.16,-1.16E+13,-7.26E+31,,0.16,0.185,1.75915708360505E-05,-0.00308379077953163
5KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.41E+19,-8.22E+15,8219187613335254,4.51580420422752E-06,1.28E-08,1.79E-09,1.57E-09,1.573,#DIV/0!,4.16,4.05,1.12,-0.31,-1.94E+13,-1.21E+32,,-0.31,-0.285,2.11899672498184E-05,-0.00153192968359195
1KHz,1.04E-12,1.60E-19,0.0078,0.00006084,-3.73E+19,-5.31E+15,5314281808943722,5.61600208229061E-06,1.39E-08,1.44E-09,1.30E-09,1.573,#DIV/0!,4.16,4.05,1.12,-0.756,-2.59E+13,-1.62E+32,,-0.756,-0.731,4.22044942692125E-05,-0.012826233238855
,,,,,,,,,,,,,,,,,,,,,,0.025,#DIV/0!,Err:502
,,,,,,,,,,,,,,,,,,,,,,0.025,#DIV/0!,Err:502
n2 1MHz,1.04E-12,1.60E-19,0.0078,0.00006084,-8.57E+18,-2.31E+16,2.3142240036147E+016,2.69120544974059E-06,1.77E-09,3.00E-09,1.11E-09,0.59,-0.380287946157135,4.16,4.05,1.12,-0.830287946157134,-2.01E+12,-1.26E+31,,7.59E-01,0.784,2.09448684419013E-05,0.0252794433244139
n3 1Mhz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.43E+18,-8.16E+16,8.16168712385925E+016,1.43304417912853E-06,1.98E-09,5.64E-09,1.47E-09,1.19,-0.412915519934238,4.16,4.05,1.12,-0.862915519934237,-3.26E+12,-2.04E+31,,1.40E+00,1.423,1.50257023461748E-05,0.0579231940335762
n4 1Mhz,1.04E-12,1.60E-19,0.0078,0.00006084,-2.49E+18,-7.97E+16,7.96501996424818E+016,1.45062820110331E-06,2.18E-09,5.57E-09,1.57E-09,0.69,-0.412284094362623,4.16,4.05,1.12,-0.862284094362622,-2.71E+12,-1.70E+31,,9.30E-01,0.955,1.24603589640231E-05,0.0572914553976604
n1 MHz,1.04E-12,1.60E-19,0.0078,0.00006084,-5.59E+18,-3.55E+16,3.54792481412844E+016,2.17351352279596E-06,1.45E-09,3.72E-09,1.04E-09,0.29,-0.391349232646903,4.16,4.05,1.12,-0.841349232646903,-1.31E+12,-8.19E+30,,4.68E-01,0.493,1.34140079102999E-05,0.0363462140613793
P1MHZ,1.04E-12,1.60E-19,0.0078,0.00006084,1.92E+18,1.03E+17,1.03296352661344E+017,1.27381704811425E-06,1.12E-09,6.34E-09,9.52E-10,-1.3,-0.419013657690713,4.16,4.05,1.12,-0.869013657690712,3.87E+11,2.42E+30,,-1.51E+00,-1.485,1.36440416259857E-05,0.0640243552805768
P2 1MHz,1.04E-12,1.60E-19,0.0078,0.00006084,8.76E+18,2.26E+16,2.26402964737191E+016,2.72087440748436E-06,1.59E-09,2.97E-09,1.04E-09,-1.008,-0.379720287941657,4.16,4.05,1.12,-0.829720287941656,2.27E+11,1.42E+30,,-4.15E-01,-0.39,1.49352862640573E-05,0.0247115036608438
p3 1MHZ,1.04E-12,1.60E-19,0.0078,0.00006084,1.82E+18,1.09E+17,1.08971976433945E+017,1.24020116966148E-06,2.39E-09,6.52E-09,1.75E-09,-0.8,-0.420398328103672,4.16,4.05,1.12,-0.870398328103671,-1.35E+11,-8.43E+29,,-9.00E-01,-0.875,1.0196917721946E-05,0.0654097122208074
P4 1MHZ,1.04E-12,1.60E-19,0.0078,0.00006084,2.49E+18,7.97E+16,7.96501996424818E+016,1.45062820110331E-06,1.10E-09,5.57E-09,9.19E-10,1.608,-0.412284094362623,4.16,4.05,1.12,-0.862284094362622,-2.18E+12,-1.36E+31,,-7.60E-01,-0.735,1.09313182312964E-05,0.0572914553976604
